timestamp,value
"30.05.2024 20:59:00,000",120.0
"30.05.2024 21:03:33,469",102.0
"30.05.2024 21:08:06,938",83.0
"30.05.2024 21:12:40,406",89.0
"30.05.2024 21:17:13,875",90.0
"30.05.2024 21:21:47,344",-91.0
"30.05.2024 21:26:20,813",79.0
"30.05.2024 21:30:54,281",-72.0
"30.05.2024 21:35:27,750",-78.0
"30.05.2024 21:40:01,219",-63.0
"30.05.2024 21:44:34,688",21.0
"30.05.2024 21:49:08,156",-56.0
"30.05.2024 21:53:41,625",-54.0
"30.05.2024 21:58:15,094",-31.0
"30.05.2024 22:02:48,562",58.0
"30.05.2024 22:07:22,031",55.0
"30.05.2024 22:11:55,500",88.0
"30.05.2024 22:16:28,969",-2.0
"30.05.2024 22:21:02,438",-62.0
"30.05.2024 22:25:35,906",-57.0
"30.05.2024 22:30:09,375",72.0
"30.05.2024 22:34:42,844",69.0
"30.05.2024 22:39:16,312",71.0
"30.05.2024 22:43:49,781",46.0
"30.05.2024 22:48:23,250",-21.0
"30.05.2024 22:52:56,719",53.0
"30.05.2024 22:57:30,188",59.0
"30.05.2024 23:02:03,656",12.0
"30.05.2024 23:06:37,125",38.0
"30.05.2024 23:11:10,594",65.0
"30.05.2024 23:15:44,063",-37.0
"30.05.2024 23:20:17,531",37.0
"30.05.2024 23:24:51,000",-101.0
"30.05.2024 23:29:24,469",14.0
"30.05.2024 23:33:57,938",67.0
"30.05.2024 23:38:31,406",-71.0
"30.05.2024 23:43:04,875",36.0
"30.05.2024 23:47:38,344",-16.0
"30.05.2024 23:52:11,813",30.0
"30.05.2024 23:56:45,281",-46.0
"31.05.2024 00:01:18,750",-23.0
"31.05.2024 00:05:52,219",-33.0
"31.05.2024 00:10:25,688",-26.0
"31.05.2024 00:14:59,156",-17.0
"31.05.2024 00:19:32,625",-32.0
"31.05.2024 00:24:06,094",43.0
"31.05.2024 00:28:39,562",-48.0
"31.05.2024 00:33:13,031",-25.0
"31.05.2024 00:37:46,500",-1.0
"31.05.2024 00:42:19,969",78.0
"31.05.2024 00:46:53,438",68.0
"31.05.2024 00:51:26,906",-72.0
"31.05.2024 00:56:00,375",80.0
"31.05.2024 01:00:33,844",31.0
"31.05.2024 01:05:07,312",-97.0
"31.05.2024 01:09:40,781",110.0
"31.05.2024 01:14:14,250",-18.0
"31.05.2024 01:18:47,719",10.0
"31.05.2024 01:23:21,188",-76.0
"31.05.2024 01:27:54,656",-55.0
"31.05.2024 01:32:28,125",-10.0
"31.05.2024 01:37:01,594",-16.0
"31.05.2024 01:41:35,062",-9.0
"31.05.2024 01:46:08,531",-14.0
"31.05.2024 01:50:42,000",-35.0
"31.05.2024 01:55:15,469",-94.0
"31.05.2024 01:59:48,938",20.0
"31.05.2024 02:04:22,406",31.0
"31.05.2024 02:08:55,875",11.0
"31.05.2024 02:13:29,344",17.0
"31.05.2024 02:18:02,813",-28.0
"31.05.2024 02:22:36,281",-53.0
"31.05.2024 02:27:09,750",95.0
"31.05.2024 02:31:43,219",-17.0
"31.05.2024 02:36:16,688",-42.0
"31.05.2024 02:40:50,156",-55.0
"31.05.2024 02:45:23,625",-52.0
"31.05.2024 02:49:57,094",-124.0
"31.05.2024 02:54:30,563",-102.0
"31.05.2024 02:59:04,031",-102.0
"31.05.2024 03:03:37,500",94.0
"31.05.2024 03:08:10,969",14.0
"31.05.2024 03:12:44,438",4.0
"31.05.2024 03:17:17,906",-25.0
"31.05.2024 03:21:51,375",17.0
"31.05.2024 03:26:24,844",-8.0
"31.05.2024 03:30:58,312",38.0
"31.05.2024 03:35:31,781",0.0
"31.05.2024 03:40:05,250",21.0
"31.05.2024 03:44:38,719",9.0
"31.05.2024 03:49:12,188",-22.0
"31.05.2024 03:53:45,656",-58.0
"31.05.2024 03:58:19,125",-58.0
"31.05.2024 04:02:52,594",-2.0
"31.05.2024 04:07:26,062",-11.0
"31.05.2024 04:11:59,531",3.0
"31.05.2024 04:16:33,000",-4.0
"31.05.2024 04:21:06,469",-6.0
"31.05.2024 04:25:39,938",-4.0
"31.05.2024 04:30:13,406",-4.0
"31.05.2024 04:34:46,875",0.0
