timestamp,value
"30.05.2024 20:59:00,000",13.0
"30.05.2024 21:03:33,469",19.0
"30.05.2024 21:08:06,938",83.0
"30.05.2024 21:12:40,406",-1.0
"30.05.2024 21:17:13,875",9.0
"30.05.2024 21:21:47,344",-9.0
"30.05.2024 21:26:20,813",63.0
"30.05.2024 21:30:54,281",-32.0
"30.05.2024 21:35:27,750",-17.0
"30.05.2024 21:40:01,219",-11.0
"30.05.2024 21:44:34,688",-7.0
"30.05.2024 21:49:08,156",-19.0
"30.05.2024 21:53:41,625",-11.0
"30.05.2024 21:58:15,094",8.0
"30.05.2024 22:02:48,562",46.0
"30.05.2024 22:07:22,031",29.0
"30.05.2024 22:11:55,500",56.0
"30.05.2024 22:16:28,969",-16.0
"30.05.2024 22:21:02,438",-29.0
"30.05.2024 22:25:35,906",-18.0
"30.05.2024 22:30:09,375",20.0
"30.05.2024 22:34:42,844",25.0
"30.05.2024 22:39:16,312",51.0
"30.05.2024 22:43:49,781",170.0
"30.05.2024 22:48:23,250",15.0
"30.05.2024 22:52:56,719",92.0
"30.05.2024 22:57:30,188",56.0
"30.05.2024 23:02:03,656",15.0
"30.05.2024 23:06:37,125",59.0
"30.05.2024 23:11:10,594",124.0
"30.05.2024 23:15:44,063",-31.0
"30.05.2024 23:20:17,531",15.0
"30.05.2024 23:24:51,000",-54.0
"30.05.2024 23:29:24,469",41.0
"30.05.2024 23:33:57,938",55.0
"30.05.2024 23:38:31,406",-58.0
"30.05.2024 23:43:04,875",27.0
"30.05.2024 23:47:38,344",8.0
"30.05.2024 23:52:11,813",40.0
"30.05.2024 23:56:45,281",-31.0
"31.05.2024 00:01:18,750",-15.0
"31.05.2024 00:05:52,219",-6.0
"31.05.2024 00:10:25,688",-17.0
"31.05.2024 00:14:59,156",-11.0
"31.05.2024 00:19:32,625",-20.0
"31.05.2024 00:24:06,094",45.0
"31.05.2024 00:28:39,562",-30.0
"31.05.2024 00:33:13,031",-43.0
"31.05.2024 00:37:46,500",0.0
"31.05.2024 00:42:19,969",12.0
"31.05.2024 00:46:53,438",8.0
"31.05.2024 00:51:26,906",6.0
"31.05.2024 00:56:00,375",22.0
"31.05.2024 01:00:33,844",31.0
"31.05.2024 01:05:07,312",-4.0
"31.05.2024 01:09:40,781",21.0
"31.05.2024 01:14:14,250",-41.0
"31.05.2024 01:18:47,719",-3.0
"31.05.2024 01:23:21,188",-42.0
"31.05.2024 01:27:54,656",-31.0
"31.05.2024 01:32:28,125",-54.0
"31.05.2024 01:37:01,594",-47.0
"31.05.2024 01:41:35,062",-63.0
"31.05.2024 01:46:08,531",-61.0
"31.05.2024 01:50:42,000",-39.0
"31.05.2024 01:55:15,469",-43.0
"31.05.2024 01:59:48,938",-86.0
"31.05.2024 02:04:22,406",29.0
"31.05.2024 02:08:55,875",47.0
"31.05.2024 02:13:29,344",73.0
"31.05.2024 02:18:02,813",-280.0
"31.05.2024 02:22:36,281",-17.0
"31.05.2024 02:27:09,750",20.0
"31.05.2024 02:31:43,219",-12.0
"31.05.2024 02:36:16,688",-26.0
"31.05.2024 02:40:50,156",-21.0
"31.05.2024 02:45:23,625",-6.0
"31.05.2024 02:49:57,094",-15.0
"31.05.2024 02:54:30,563",-4.0
"31.05.2024 02:59:04,031",-15.0
"31.05.2024 03:03:37,500",30.0
"31.05.2024 03:08:10,969",0.0
"31.05.2024 03:12:44,438",13.0
"31.05.2024 03:17:17,906",-21.0
"31.05.2024 03:21:51,375",-2.0
"31.05.2024 03:26:24,844",7.0
"31.05.2024 03:30:58,312",33.0
"31.05.2024 03:35:31,781",20.0
"31.05.2024 03:40:05,250",51.0
"31.05.2024 03:44:38,719",23.0
"31.05.2024 03:49:12,188",-9.0
"31.05.2024 03:53:45,656",-15.0
"31.05.2024 03:58:19,125",-5.0
"31.05.2024 04:02:52,594",-10.0
"31.05.2024 04:07:26,062",-23.0
"31.05.2024 04:11:59,531",-48.0
"31.05.2024 04:16:33,000",-5.0
"31.05.2024 04:21:06,469",22.0
"31.05.2024 04:25:39,938",31.0
"31.05.2024 04:30:13,406",-27.0
"31.05.2024 04:34:46,875",19.0
