timestamp,value
"30.05.2024 21:22:45,000",0.0
"30.05.2024 21:27:10,500",-112.0
"30.05.2024 21:31:36,000",-51.0
"30.05.2024 21:36:01,500",42.0
"30.05.2024 21:40:27,000",18.0
"30.05.2024 21:44:52,500",11.0
"30.05.2024 21:49:18,000",62.0
"30.05.2024 21:53:43,500",46.0
"30.05.2024 21:58:09,000",-54.0
"30.05.2024 22:02:34,500",0.0
"30.05.2024 22:07:00,000",49.0
"30.05.2024 22:11:25,500",-43.0
"30.05.2024 22:15:51,000",25.0
"30.05.2024 22:20:16,500",53.0
"30.05.2024 22:24:42,000",-24.0
"30.05.2024 22:29:07,500",-2.0
"30.05.2024 22:33:33,000",37.0
"30.05.2024 22:37:58,500",1.0
"30.05.2024 22:42:24,000",-1.0
"30.05.2024 22:46:49,500",-38.0
"30.05.2024 22:51:15,000",23.0
"30.05.2024 22:55:40,500",-11.0
"30.05.2024 23:00:06,000",-26.0
"30.05.2024 23:04:31,500",-17.0
"30.05.2024 23:08:57,000",21.0
"30.05.2024 23:13:22,500",-9.0
"30.05.2024 23:17:48,000",3.0
"30.05.2024 23:22:13,500",23.0
"30.05.2024 23:26:39,000",30.0
"30.05.2024 23:31:04,500",52.0
"30.05.2024 23:35:30,000",99.0
"30.05.2024 23:39:55,500",48.0
"30.05.2024 23:44:21,000",-106.0
"30.05.2024 23:48:46,500",71.0
"30.05.2024 23:53:12,000",20.0
"30.05.2024 23:57:37,500",-25.0
"31.05.2024 00:02:03,000",35.0
"31.05.2024 00:06:28,500",13.0
"31.05.2024 00:10:54,000",-51.0
"31.05.2024 00:15:19,500",-94.0
"31.05.2024 00:19:45,000",-62.0
"31.05.2024 00:24:10,500",13.0
"31.05.2024 00:28:36,000",-56.0
"31.05.2024 00:33:01,500",8.0
"31.05.2024 00:37:27,000",60.0
"31.05.2024 00:41:52,500",63.0
"31.05.2024 00:46:18,000",96.0
"31.05.2024 00:50:43,500",-124.0
"31.05.2024 00:55:09,000",-68.0
"31.05.2024 00:59:34,500",-157.0
"31.05.2024 01:04:00,000",141.0
"31.05.2024 01:08:25,500",-100.0
"31.05.2024 01:12:51,000",-46.0
"31.05.2024 01:17:16,500",52.0
"31.05.2024 01:21:42,000",122.0
"31.05.2024 01:26:07,500",87.0
"31.05.2024 01:30:33,000",-2.0
"31.05.2024 01:34:58,500",-51.0
"31.05.2024 01:39:24,000",-60.0
"31.05.2024 01:43:49,500",-14.0
"31.05.2024 01:48:15,000",160.0
"31.05.2024 01:52:40,500",38.0
"31.05.2024 01:57:06,000",88.0
"31.05.2024 02:01:31,500",-62.0
"31.05.2024 02:05:57,000",-29.0
"31.05.2024 02:10:22,500",160.0
"31.05.2024 02:14:48,000",94.0
"31.05.2024 02:19:13,500",117.0
"31.05.2024 02:23:39,000",-10.0
"31.05.2024 02:28:04,500",120.0
"31.05.2024 02:32:30,000",-107.0
"31.05.2024 02:36:55,500",-56.0
"31.05.2024 02:41:21,000",16.0
"31.05.2024 02:45:46,500",-13.0
"31.05.2024 02:50:12,000",91.0
"31.05.2024 02:54:37,500",48.0
"31.05.2024 02:59:03,000",28.0
"31.05.2024 03:03:28,500",28.0
"31.05.2024 03:07:54,000",-38.0
"31.05.2024 03:12:19,500",-48.0
"31.05.2024 03:16:45,000",-4.0
"31.05.2024 03:21:10,500",35.0
"31.05.2024 03:25:36,000",-7.0
"31.05.2024 03:30:01,500",60.0
"31.05.2024 03:34:27,000",-22.0
"31.05.2024 03:38:52,500",-31.0
"31.05.2024 03:43:18,000",-65.0
"31.05.2024 03:47:43,500",54.0
"31.05.2024 03:52:09,000",6.0
"31.05.2024 03:56:34,500",41.0
"31.05.2024 04:01:00,000",-78.0
"31.05.2024 04:05:25,500",-97.0
"31.05.2024 04:09:51,000",67.0
"31.05.2024 04:14:16,500",52.0
"31.05.2024 04:18:42,000",-70.0
"31.05.2024 04:23:07,500",90.0
"31.05.2024 04:27:33,000",32.0
"31.05.2024 04:31:58,500",-28.0
"31.05.2024 04:36:24,000",-57.0
"31.05.2024 04:40:49,500",-57.0
"31.05.2024 04:45:15,000",83.0
