timestamp,value
"30.05.2024 21:22:45,000",0.0
"30.05.2024 21:27:10,500",-362.0
"30.05.2024 21:31:36,000",-119.0
"30.05.2024 21:36:01,500",563.0
"30.05.2024 21:40:27,000",-86.0
"30.05.2024 21:44:52,500",134.0
"30.05.2024 21:49:18,000",151.0
"30.05.2024 21:53:43,500",188.0
"30.05.2024 21:58:09,000",-196.0
"30.05.2024 22:02:34,500",-232.0
"30.05.2024 22:07:00,000",347.0
"30.05.2024 22:11:25,500",-42.0
"30.05.2024 22:15:51,000",123.0
"30.05.2024 22:20:16,500",209.0
"30.05.2024 22:24:42,000",-205.0
"30.05.2024 22:29:07,500",14.0
"30.05.2024 22:33:33,000",113.0
"30.05.2024 22:37:58,500",10.0
"30.05.2024 22:42:24,000",-55.0
"30.05.2024 22:46:49,500",-69.0
"30.05.2024 22:51:15,000",145.0
"30.05.2024 22:55:40,500",-116.0
"30.05.2024 23:00:06,000",-165.0
"30.05.2024 23:04:31,500",-158.0
"30.05.2024 23:08:57,000",156.0
"30.05.2024 23:13:22,500",-122.0
"30.05.2024 23:17:48,000",41.0
"30.05.2024 23:22:13,500",-50.0
"30.05.2024 23:26:39,000",-52.0
"30.05.2024 23:31:04,500",40.0
"30.05.2024 23:35:30,000",231.0
"30.05.2024 23:39:55,500",75.0
"30.05.2024 23:44:21,000",-183.0
"30.05.2024 23:48:46,500",52.0
"30.05.2024 23:53:12,000",-23.0
"30.05.2024 23:57:37,500",-86.0
"31.05.2024 00:02:03,000",59.0
"31.05.2024 00:06:28,500",-147.0
"31.05.2024 00:10:54,000",-37.0
"31.05.2024 00:15:19,500",-150.0
"31.05.2024 00:19:45,000",-5.0
"31.05.2024 00:24:10,500",-11.0
"31.05.2024 00:28:36,000",-114.0
"31.05.2024 00:33:01,500",100.0
"31.05.2024 00:37:27,000",105.0
"31.05.2024 00:41:52,500",61.0
"31.05.2024 00:46:18,000",79.0
"31.05.2024 00:50:43,500",-103.0
"31.05.2024 00:55:09,000",-6.0
"31.05.2024 00:59:34,500",-88.0
"31.05.2024 01:04:00,000",166.0
"31.05.2024 01:08:25,500",-140.0
"31.05.2024 01:12:51,000",-96.0
"31.05.2024 01:17:16,500",-200.0
"31.05.2024 01:21:42,000",-205.0
"31.05.2024 01:26:07,500",276.0
"31.05.2024 01:30:33,000",7.0
"31.05.2024 01:34:58,500",-470.0
"31.05.2024 01:39:24,000",-50.0
"31.05.2024 01:43:49,500",35.0
"31.05.2024 01:48:15,000",253.0
"31.05.2024 01:52:40,500",122.0
"31.05.2024 01:57:06,000",147.0
"31.05.2024 02:01:31,500",-83.0
"31.05.2024 02:05:57,000",-31.0
"31.05.2024 02:10:22,500",46.0
"31.05.2024 02:14:48,000",79.0
"31.05.2024 02:19:13,500",140.0
"31.05.2024 02:23:39,000",-40.0
"31.05.2024 02:28:04,500",175.0
"31.05.2024 02:32:30,000",-28.0
"31.05.2024 02:36:55,500",-184.0
"31.05.2024 02:41:21,000",-37.0
"31.05.2024 02:45:46,500",42.0
"31.05.2024 02:50:12,000",188.0
"31.05.2024 02:54:37,500",80.0
"31.05.2024 02:59:03,000",31.0
"31.05.2024 03:03:28,500",64.0
"31.05.2024 03:07:54,000",-28.0
"31.05.2024 03:12:19,500",-168.0
"31.05.2024 03:16:45,000",-50.0
"31.05.2024 03:21:10,500",151.0
"31.05.2024 03:25:36,000",74.0
"31.05.2024 03:30:01,500",101.0
"31.05.2024 03:34:27,000",-102.0
"31.05.2024 03:38:52,500",-96.0
"31.05.2024 03:43:18,000",-115.0
"31.05.2024 03:47:43,500",51.0
"31.05.2024 03:52:09,000",-73.0
"31.05.2024 03:56:34,500",-4.0
"31.05.2024 04:01:00,000",-97.0
"31.05.2024 04:05:25,500",-145.0
"31.05.2024 04:09:51,000",295.0
"31.05.2024 04:14:16,500",21.0
"31.05.2024 04:18:42,000",-134.0
"31.05.2024 04:23:07,500",210.0
"31.05.2024 04:27:33,000",-8.0
"31.05.2024 04:31:58,500",57.0
"31.05.2024 04:36:24,000",-55.0
"31.05.2024 04:40:49,500",-78.0
"31.05.2024 04:45:15,000",388.0
