timestamp,value
"29.05.2024 22:10:18,000",0.0
"29.05.2024 22:14:32,531",-15.0
"29.05.2024 22:18:47,062",7.0
"29.05.2024 22:23:01,594",-2.0
"29.05.2024 22:27:16,125",-2.0
"29.05.2024 22:31:30,656",0.0
"29.05.2024 22:35:45,188",5.0
"29.05.2024 22:39:59,719",-5.0
"29.05.2024 22:44:14,250",8.0
"29.05.2024 22:48:28,781",8.0
"29.05.2024 22:52:43,312",-3.0
"29.05.2024 22:56:57,844",-1.0
"29.05.2024 23:01:12,375",-6.0
"29.05.2024 23:05:26,906",7.0
"29.05.2024 23:09:41,437",-8.0
"29.05.2024 23:13:55,969",5.0
"29.05.2024 23:18:10,500",-14.0
"29.05.2024 23:22:25,031",0.0
"29.05.2024 23:26:39,562",-1.0
"29.05.2024 23:30:54,094",-8.0
"29.05.2024 23:35:08,625",2.0
"29.05.2024 23:39:23,156",2.0
"29.05.2024 23:43:37,687",-8.0
"29.05.2024 23:47:52,219",-4.0
"29.05.2024 23:52:06,750",-2.0
"29.05.2024 23:56:21,281",-10.0
"30.05.2024 00:00:35,812",-7.0
"30.05.2024 00:04:50,344",3.0
"30.05.2024 00:09:04,875",-4.0
"30.05.2024 00:13:19,406",-7.0
"30.05.2024 00:17:33,937",2.0
"30.05.2024 00:21:48,469",-1.0
"30.05.2024 00:26:03,000",0.0
"30.05.2024 00:30:17,531",0.0
"30.05.2024 00:34:32,062",-6.0
"30.05.2024 00:38:46,594",0.0
"30.05.2024 00:43:01,125",-12.0
"30.05.2024 00:47:15,656",-10.0
"30.05.2024 00:51:30,187",10.0
"30.05.2024 00:55:44,719",5.0
"30.05.2024 00:59:59,250",-7.0
"30.05.2024 01:04:13,781",-2.0
"30.05.2024 01:08:28,312",-7.0
"30.05.2024 01:12:42,844",29.0
"30.05.2024 01:16:57,375",11.0
"30.05.2024 01:21:11,906",3.0
"30.05.2024 01:25:26,437",24.0
"30.05.2024 01:29:40,969",-7.0
"30.05.2024 01:33:55,500",29.0
"30.05.2024 01:38:10,031",1.0
"30.05.2024 01:42:24,562",-7.0
"30.05.2024 01:46:39,094",-3.0
"30.05.2024 01:50:53,625",-11.0
"30.05.2024 01:55:08,156",2.0
"30.05.2024 01:59:22,688",4.0
"30.05.2024 02:03:37,219",-3.0
"30.05.2024 02:07:51,750",-2.0
"30.05.2024 02:12:06,281",-6.0
"30.05.2024 02:16:20,812",1.0
"30.05.2024 02:20:35,344",-7.0
"30.05.2024 02:24:49,875",-4.0
"30.05.2024 02:29:04,406",-3.0
"30.05.2024 02:33:18,938",-6.0
"30.05.2024 02:37:33,469",-3.0
"30.05.2024 02:41:48,000",-6.0
"30.05.2024 02:46:02,531",2.0
"30.05.2024 02:50:17,062",-2.0
"30.05.2024 02:54:31,594",-6.0
"30.05.2024 02:58:46,125",-9.0
"30.05.2024 03:03:00,656",-9.0
"30.05.2024 03:07:15,188",-6.0
"30.05.2024 03:11:29,719",4.0
"30.05.2024 03:15:44,250",-8.0
"30.05.2024 03:19:58,781",-13.0
"30.05.2024 03:24:13,312",-4.0
"30.05.2024 03:28:27,844",-2.0
"30.05.2024 03:32:42,375",5.0
"30.05.2024 03:36:56,906",-16.0
"30.05.2024 03:41:11,438",2.0
"30.05.2024 03:45:25,969",15.0
"30.05.2024 03:49:40,500",10.0
"30.05.2024 03:53:55,031",-7.0
"30.05.2024 03:58:09,562",3.0
"30.05.2024 04:02:24,094",1.0
"30.05.2024 04:06:38,625",-11.0
"30.05.2024 04:10:53,156",0.0
"30.05.2024 04:15:07,688",14.0
"30.05.2024 04:19:22,219",-7.0
"30.05.2024 04:23:36,750",1.0
"30.05.2024 04:27:51,281",6.0
"30.05.2024 04:32:05,812",-14.0
"30.05.2024 04:36:20,344",1.0
"30.05.2024 04:40:34,875",1.0
"30.05.2024 04:44:49,406",0.0
"30.05.2024 04:49:03,938",-4.0
"30.05.2024 04:53:18,469",-7.0
"30.05.2024 04:57:33,000",1.0
"30.05.2024 05:01:47,531",-2.0
"30.05.2024 05:06:02,062",-8.0
"30.05.2024 05:10:16,594",-5.0
"30.05.2024 05:14:31,125",-2.0
