timestamp,value
"29.05.2024 22:10:18,000",0.0
"29.05.2024 22:14:32,531",24.0
"29.05.2024 22:18:47,062",5.0
"29.05.2024 22:23:01,594",-14.0
"29.05.2024 22:27:16,125",-17.0
"29.05.2024 22:31:30,656",-45.0
"29.05.2024 22:35:45,188",-37.0
"29.05.2024 22:39:59,719",-238.0
"29.05.2024 22:44:14,250",39.0
"29.05.2024 22:48:28,781",-15.0
"29.05.2024 22:52:43,312",-39.0
"29.05.2024 22:56:57,844",25.0
"29.05.2024 23:01:12,375",-135.0
"29.05.2024 23:05:26,906",193.0
"29.05.2024 23:09:41,437",-1.0
"29.05.2024 23:13:55,969",-6.0
"29.05.2024 23:18:10,500",-74.0
"29.05.2024 23:22:25,031",6.0
"29.05.2024 23:26:39,562",12.0
"29.05.2024 23:30:54,094",-191.0
"29.05.2024 23:35:08,625",-2.0
"29.05.2024 23:39:23,156",29.0
"29.05.2024 23:43:37,687",-6.0
"29.05.2024 23:47:52,219",-84.0
"29.05.2024 23:52:06,750",70.0
"29.05.2024 23:56:21,281",-2.0
"30.05.2024 00:00:35,812",0.0
"30.05.2024 00:04:50,344",-9.0
"30.05.2024 00:09:04,875",-3.0
"30.05.2024 00:13:19,406",-25.0
"30.05.2024 00:17:33,937",-208.0
"30.05.2024 00:21:48,469",-18.0
"30.05.2024 00:26:03,000",-4.0
"30.05.2024 00:30:17,531",2.0
"30.05.2024 00:34:32,062",71.0
"30.05.2024 00:38:46,594",7.0
"30.05.2024 00:43:01,125",6.0
"30.05.2024 00:47:15,656",-16.0
"30.05.2024 00:51:30,187",169.0
"30.05.2024 00:55:44,719",-25.0
"30.05.2024 00:59:59,250",13.0
"30.05.2024 01:04:13,781",39.0
"30.05.2024 01:08:28,312",27.0
"30.05.2024 01:12:42,844",55.0
"30.05.2024 01:16:57,375",18.0
"30.05.2024 01:21:11,906",-5.0
"30.05.2024 01:25:26,437",19.0
"30.05.2024 01:29:40,969",30.0
"30.05.2024 01:33:55,500",353.0
"30.05.2024 01:38:10,031",-9.0
"30.05.2024 01:42:24,562",-54.0
"30.05.2024 01:46:39,094",-2.0
"30.05.2024 01:50:53,625",-58.0
"30.05.2024 01:55:08,156",64.0
"30.05.2024 01:59:22,688",40.0
"30.05.2024 02:03:37,219",-27.0
"30.05.2024 02:07:51,750",-42.0
"30.05.2024 02:12:06,281",8.0
"30.05.2024 02:16:20,812",75.0
"30.05.2024 02:20:35,344",-54.0
"30.05.2024 02:24:49,875",-52.0
"30.05.2024 02:29:04,406",-18.0
"30.05.2024 02:33:18,938",-59.0
"30.05.2024 02:37:33,469",-19.0
"30.05.2024 02:41:48,000",-154.0
"30.05.2024 02:46:02,531",69.0
"30.05.2024 02:50:17,062",31.0
"30.05.2024 02:54:31,594",-9.0
"30.05.2024 02:58:46,125",-47.0
"30.05.2024 03:03:00,656",9.0
"30.05.2024 03:07:15,188",6.0
"30.05.2024 03:11:29,719",46.0
"30.05.2024 03:15:44,250",-48.0
"30.05.2024 03:19:58,781",-24.0
"30.05.2024 03:24:13,312",27.0
"30.05.2024 03:28:27,844",-8.0
"30.05.2024 03:32:42,375",52.0
"30.05.2024 03:36:56,906",37.0
"30.05.2024 03:41:11,438",-8.0
"30.05.2024 03:45:25,969",34.0
"30.05.2024 03:49:40,500",47.0
"30.05.2024 03:53:55,031",-12.0
"30.05.2024 03:58:09,562",-44.0
"30.05.2024 04:02:24,094",0.0
"30.05.2024 04:06:38,625",-6.0
"30.05.2024 04:10:53,156",143.0
"30.05.2024 04:15:07,688",21.0
"30.05.2024 04:19:22,219",-15.0
"30.05.2024 04:23:36,750",18.0
"30.05.2024 04:27:51,281",50.0
"30.05.2024 04:32:05,812",-38.0
"30.05.2024 04:36:20,344",0.0
"30.05.2024 04:40:34,875",85.0
"30.05.2024 04:44:49,406",31.0
"30.05.2024 04:49:03,938",-26.0
"30.05.2024 04:53:18,469",-5.0
"30.05.2024 04:57:33,000",19.0
"30.05.2024 05:01:47,531",-16.0
"30.05.2024 05:06:02,062",-60.0
"30.05.2024 05:10:16,594",8.0
"30.05.2024 05:14:31,125",-69.0
