timestamp,value
"29.05.2024 21:25:35,000",0.0
"29.05.2024 21:30:25,031",33.0
"29.05.2024 21:35:15,062",52.0
"29.05.2024 21:40:05,094",55.0
"29.05.2024 21:44:55,125",83.0
"29.05.2024 21:49:45,156",61.0
"29.05.2024 21:54:35,188",-6.0
"29.05.2024 21:59:25,219",-61.0
"29.05.2024 22:04:15,250",59.0
"29.05.2024 22:09:05,281",52.0
"29.05.2024 22:13:55,312",12.0
"29.05.2024 22:18:45,344",-115.0
"29.05.2024 22:23:35,375",25.0
"29.05.2024 22:28:25,406",-86.0
"29.05.2024 22:33:15,438",50.0
"29.05.2024 22:38:05,469",21.0
"29.05.2024 22:42:55,500",-19.0
"29.05.2024 22:47:45,531",-25.0
"29.05.2024 22:52:35,562",-60.0
"29.05.2024 22:57:25,594",42.0
"29.05.2024 23:02:15,625",60.0
"29.05.2024 23:07:05,656",-57.0
"29.05.2024 23:11:55,688",60.0
"29.05.2024 23:16:45,719",-49.0
"29.05.2024 23:21:35,750",47.0
"29.05.2024 23:26:25,781",-120.0
"29.05.2024 23:31:15,812",-97.0
"29.05.2024 23:36:05,844",-59.0
"29.05.2024 23:40:55,875",43.0
"29.05.2024 23:45:45,906",-84.0
"29.05.2024 23:50:35,938",-45.0
"29.05.2024 23:55:25,969",48.0
"30.05.2024 00:00:16,000",-47.0
"30.05.2024 00:05:06,031",78.0
"30.05.2024 00:09:56,062",68.0
"30.05.2024 00:14:46,094",-26.0
"30.05.2024 00:19:36,125",65.0
"30.05.2024 00:24:26,156",19.0
"30.05.2024 00:29:16,187",-27.0
"30.05.2024 00:34:06,219",68.0
"30.05.2024 00:38:56,250",14.0
"30.05.2024 00:43:46,281",-22.0
"30.05.2024 00:48:36,312",-70.0
"30.05.2024 00:53:26,344",-104.0
"30.05.2024 00:58:16,375",65.0
"30.05.2024 01:03:06,406",54.0
"30.05.2024 01:07:56,438",34.0
"30.05.2024 01:12:46,469",-76.0
"30.05.2024 01:17:36,500",-104.0
"30.05.2024 01:22:26,531",13.0
"30.05.2024 01:27:16,562",-72.0
"30.05.2024 01:32:06,594",33.0
"30.05.2024 01:36:56,625",79.0
"30.05.2024 01:41:46,656",-73.0
"30.05.2024 01:46:36,687",-35.0
"30.05.2024 01:51:26,719",57.0
"30.05.2024 01:56:16,750",69.0
"30.05.2024 02:01:06,781",43.0
"30.05.2024 02:05:56,812",7.0
"30.05.2024 02:10:46,844",94.0
"30.05.2024 02:15:36,875",-31.0
"30.05.2024 02:20:26,906",-45.0
"30.05.2024 02:25:16,938",41.0
"30.05.2024 02:30:06,969",-48.0
"30.05.2024 02:34:57,000",45.0
"30.05.2024 02:39:47,031",20.0
"30.05.2024 02:44:37,062",-23.0
"30.05.2024 02:49:27,094",62.0
"30.05.2024 02:54:17,125",41.0
"30.05.2024 02:59:07,156",-32.0
"30.05.2024 03:03:57,187",22.0
"30.05.2024 03:08:47,219",-73.0
"30.05.2024 03:13:37,250",65.0
"30.05.2024 03:18:27,281",-43.0
"30.05.2024 03:23:17,312",53.0
"30.05.2024 03:28:07,344",-21.0
"30.05.2024 03:32:57,375",17.0
"30.05.2024 03:37:47,406",76.0
"30.05.2024 03:42:37,438",-58.0
"30.05.2024 03:47:27,469",39.0
"30.05.2024 03:52:17,500",72.0
"30.05.2024 03:57:07,531",10.0
"30.05.2024 04:01:57,562",-15.0
"30.05.2024 04:06:47,594",53.0
"30.05.2024 04:11:37,625",-50.0
"30.05.2024 04:16:27,656",-14.0
"30.05.2024 04:21:17,687",-14.0
"30.05.2024 04:26:07,719",-6.0
"30.05.2024 04:30:57,750",29.0
"30.05.2024 04:35:47,781",27.0
"30.05.2024 04:40:37,812",21.0
"30.05.2024 04:45:27,844",-31.0
"30.05.2024 04:50:17,875",-49.0
"30.05.2024 04:55:07,906",-43.0
"30.05.2024 04:59:57,938",14.0
"30.05.2024 05:04:47,969",-22.0
"30.05.2024 05:09:38,000",57.0
"30.05.2024 05:14:28,031",-29.0
"30.05.2024 05:19:18,062",43.0
"30.05.2024 05:24:08,094",24.0
"30.05.2024 05:28:58,125",-26.0
