timestamp,value
"29.05.2024 21:25:35,000",0.0
"29.05.2024 21:30:25,031",50.0
"29.05.2024 21:35:15,062",20.0
"29.05.2024 21:40:05,094",32.0
"29.05.2024 21:44:55,125",68.0
"29.05.2024 21:49:45,156",33.0
"29.05.2024 21:54:35,188",-192.0
"29.05.2024 21:59:25,219",-20.0
"29.05.2024 22:04:15,250",9.0
"29.05.2024 22:09:05,281",28.0
"29.05.2024 22:13:55,312",-33.0
"29.05.2024 22:18:45,344",-19.0
"29.05.2024 22:23:35,375",16.0
"29.05.2024 22:28:25,406",-39.0
"29.05.2024 22:33:15,438",0.0
"29.05.2024 22:38:05,469",-2.0
"29.05.2024 22:42:55,500",45.0
"29.05.2024 22:47:45,531",26.0
"29.05.2024 22:52:35,562",-61.0
"29.05.2024 22:57:25,594",10.0
"29.05.2024 23:02:15,625",-19.0
"29.05.2024 23:07:05,656",-43.0
"29.05.2024 23:11:55,688",33.0
"29.05.2024 23:16:45,719",-46.0
"29.05.2024 23:21:35,750",49.0
"29.05.2024 23:26:25,781",-26.0
"29.05.2024 23:31:15,812",-1.0
"29.05.2024 23:36:05,844",-59.0
"29.05.2024 23:40:55,875",63.0
"29.05.2024 23:45:45,906",-22.0
"29.05.2024 23:50:35,938",3.0
"29.05.2024 23:55:25,969",24.0
"30.05.2024 00:00:16,000",-42.0
"30.05.2024 00:05:06,031",33.0
"30.05.2024 00:09:56,062",40.0
"30.05.2024 00:14:46,094",-29.0
"30.05.2024 00:19:36,125",6.0
"30.05.2024 00:24:26,156",48.0
"30.05.2024 00:29:16,187",-35.0
"30.05.2024 00:34:06,219",61.0
"30.05.2024 00:38:56,250",33.0
"30.05.2024 00:43:46,281",4.0
"30.05.2024 00:48:36,312",-27.0
"30.05.2024 00:53:26,344",-34.0
"30.05.2024 00:58:16,375",46.0
"30.05.2024 01:03:06,406",30.0
"30.05.2024 01:07:56,438",6.0
"30.05.2024 01:12:46,469",-15.0
"30.05.2024 01:17:36,500",-57.0
"30.05.2024 01:22:26,531",32.0
"30.05.2024 01:27:16,562",-47.0
"30.05.2024 01:32:06,594",114.0
"30.05.2024 01:36:56,625",77.0
"30.05.2024 01:41:46,656",-41.0
"30.05.2024 01:46:36,687",-34.0
"30.05.2024 01:51:26,719",14.0
"30.05.2024 01:56:16,750",37.0
"30.05.2024 02:01:06,781",53.0
"30.05.2024 02:05:56,812",-251.0
"30.05.2024 02:10:46,844",87.0
"30.05.2024 02:15:36,875",-44.0
"30.05.2024 02:20:26,906",-50.0
"30.05.2024 02:25:16,938",47.0
"30.05.2024 02:30:06,969",15.0
"30.05.2024 02:34:57,000",-4.0
"30.05.2024 02:39:47,031",-16.0
"30.05.2024 02:44:37,062",-34.0
"30.05.2024 02:49:27,094",34.0
"30.05.2024 02:54:17,125",-1.0
"30.05.2024 02:59:07,156",-29.0
"30.05.2024 03:03:57,187",38.0
"30.05.2024 03:08:47,219",-33.0
"30.05.2024 03:13:37,250",136.0
"30.05.2024 03:18:27,281",-89.0
"30.05.2024 03:23:17,312",80.0
"30.05.2024 03:28:07,344",31.0
"30.05.2024 03:32:57,375",46.0
"30.05.2024 03:37:47,406",91.0
"30.05.2024 03:42:37,438",-22.0
"30.05.2024 03:47:27,469",33.0
"30.05.2024 03:52:17,500",65.0
"30.05.2024 03:57:07,531",29.0
"30.05.2024 04:01:57,562",-47.0
"30.05.2024 04:06:47,594",68.0
"30.05.2024 04:11:37,625",-49.0
"30.05.2024 04:16:27,656",-26.0
"30.05.2024 04:21:17,687",-42.0
"30.05.2024 04:26:07,719",16.0
"30.05.2024 04:30:57,750",66.0
"30.05.2024 04:35:47,781",18.0
"30.05.2024 04:40:37,812",32.0
"30.05.2024 04:45:27,844",-48.0
"30.05.2024 04:50:17,875",-39.0
"30.05.2024 04:55:07,906",-68.0
"30.05.2024 04:59:57,938",-9.0
"30.05.2024 05:04:47,969",-32.0
"30.05.2024 05:09:38,000",77.0
"30.05.2024 05:14:28,031",-24.0
"30.05.2024 05:19:18,062",48.0
"30.05.2024 05:24:08,094",31.0
"30.05.2024 05:28:58,125",-32.0
