timestamp,value
"28.05.2024 21:28:07,000",2.0
"28.05.2024 21:32:04,375",-6.0
"28.05.2024 21:36:01,750",-4.0
"28.05.2024 21:39:59,125",-17.0
"28.05.2024 21:43:56,500",-13.0
"28.05.2024 21:47:53,875",-5.0
"28.05.2024 21:51:51,250",-247.0
"28.05.2024 21:55:48,625",195.0
"28.05.2024 21:59:46,000",-151.0
"28.05.2024 22:03:43,375",-57.0
"28.05.2024 22:07:40,750",94.0
"28.05.2024 22:11:38,125",4.0
"28.05.2024 22:15:35,500",88.0
"28.05.2024 22:19:32,875",159.0
"28.05.2024 22:23:30,250",57.0
"28.05.2024 22:27:27,625",-145.0
"28.05.2024 22:31:25,000",-89.0
"28.05.2024 22:35:22,375",-11.0
"28.05.2024 22:39:19,750",-50.0
"28.05.2024 22:43:17,125",-10.0
"28.05.2024 22:47:14,500",-11.0
"28.05.2024 22:51:11,875",-5.0
"28.05.2024 22:55:09,250",-50.0
"28.05.2024 22:59:06,625",-38.0
"28.05.2024 23:03:04,000",0.0
"28.05.2024 23:07:01,375",-27.0
"28.05.2024 23:10:58,750",-9.0
"28.05.2024 23:14:56,125",-6.0
"28.05.2024 23:18:53,500",11.0
"28.05.2024 23:22:50,875",-3.0
"28.05.2024 23:26:48,250",7.0
"28.05.2024 23:30:45,625",-22.0
"28.05.2024 23:34:43,000",3.0
"28.05.2024 23:38:40,375",14.0
"28.05.2024 23:42:37,750",-54.0
"28.05.2024 23:46:35,125",58.0
"28.05.2024 23:50:32,500",-7.0
"28.05.2024 23:54:29,875",-8.0
"28.05.2024 23:58:27,250",-18.0
"29.05.2024 00:02:24,625",25.0
"29.05.2024 00:06:22,000",-41.0
"29.05.2024 00:10:19,375",26.0
"29.05.2024 00:14:16,750",-8.0
"29.05.2024 00:18:14,125",48.0
"29.05.2024 00:22:11,500",35.0
"29.05.2024 00:26:08,875",33.0
"29.05.2024 00:30:06,250",-12.0
"29.05.2024 00:34:03,625",-74.0
"29.05.2024 00:38:01,000",-72.0
"29.05.2024 00:41:58,375",61.0
"29.05.2024 00:45:55,750",23.0
"29.05.2024 00:49:53,125",57.0
"29.05.2024 00:53:50,500",-1.0
"29.05.2024 00:57:47,875",-2.0
"29.05.2024 01:01:45,250",-5.0
"29.05.2024 01:05:42,625",3.0
"29.05.2024 01:09:40,000",21.0
"29.05.2024 01:13:37,375",-7.0
"29.05.2024 01:17:34,750",10.0
"29.05.2024 01:21:32,125",-18.0
"29.05.2024 01:25:29,500",79.0
"29.05.2024 01:29:26,875",-57.0
"29.05.2024 01:33:24,250",19.0
"29.05.2024 01:37:21,625",48.0
"29.05.2024 01:41:19,000",-9.0
"29.05.2024 01:45:16,375",6.0
"29.05.2024 01:49:13,750",-44.0
"29.05.2024 01:53:11,125",37.0
"29.05.2024 01:57:08,500",-34.0
"29.05.2024 02:01:05,875",0.0
"29.05.2024 02:05:03,250",-14.0
"29.05.2024 02:09:00,625",-32.0
"29.05.2024 02:12:58,000",39.0
"29.05.2024 02:16:55,375",-1.0
"29.05.2024 02:20:52,750",-88.0
"29.05.2024 02:24:50,125",10.0
"29.05.2024 02:28:47,500",-11.0
"29.05.2024 02:32:44,875",10.0
"29.05.2024 02:36:42,250",-3.0
"29.05.2024 02:40:39,625",-4.0
"29.05.2024 02:44:37,000",-1.0
"29.05.2024 02:48:34,375",-4.0
"29.05.2024 02:52:31,750",-6.0
"29.05.2024 02:56:29,125",29.0
"29.05.2024 03:00:26,500",-7.0
"29.05.2024 03:04:23,875",-25.0
"29.05.2024 03:08:21,250",-6.0
"29.05.2024 03:12:18,625",10.0
"29.05.2024 03:16:16,000",-14.0
"29.05.2024 03:20:13,375",-13.0
"29.05.2024 03:24:10,750",-4.0
"29.05.2024 03:28:08,125",-9.0
"29.05.2024 03:32:05,500",-10.0
"29.05.2024 03:36:02,875",8.0
"29.05.2024 03:40:00,250",-3.0
"29.05.2024 03:43:57,625",-22.0
"29.05.2024 03:47:55,000",-11.0
"29.05.2024 03:51:52,375",-16.0
"29.05.2024 03:55:49,750",-30.0
"29.05.2024 03:59:47,125",-23.0
"29.05.2024 04:03:44,500",52.0
