timestamp,value
"28.05.2024 21:28:07,000",0.0
"28.05.2024 21:32:04,375",0.0
"28.05.2024 21:36:01,750",13.0
"28.05.2024 21:39:59,125",-8.0
"28.05.2024 21:43:56,500",443.0
"28.05.2024 21:47:53,875",0.0
"28.05.2024 21:51:51,250",-22.0
"28.05.2024 21:55:48,625",8.0
"28.05.2024 21:59:46,000",3.0
"28.05.2024 22:03:43,375",20.0
"28.05.2024 22:07:40,750",18.0
"28.05.2024 22:11:38,125",-52.0
"28.05.2024 22:15:35,500",71.0
"28.05.2024 22:19:32,875",40.0
"28.05.2024 22:23:30,250",-113.0
"28.05.2024 22:27:27,625",-20.0
"28.05.2024 22:31:25,000",1.0
"28.05.2024 22:35:22,375",-11.0
"28.05.2024 22:39:19,750",16.0
"28.05.2024 22:43:17,125",16.0
"28.05.2024 22:47:14,500",-36.0
"28.05.2024 22:51:11,875",-37.0
"28.05.2024 22:55:09,250",-63.0
"28.05.2024 22:59:06,625",-13.0
"28.05.2024 23:03:04,000",19.0
"28.05.2024 23:07:01,375",53.0
"28.05.2024 23:10:58,750",-34.0
"28.05.2024 23:14:56,125",6.0
"28.05.2024 23:18:53,500",45.0
"28.05.2024 23:22:50,875",-20.0
"28.05.2024 23:26:48,250",22.0
"28.05.2024 23:30:45,625",36.0
"28.05.2024 23:34:43,000",29.0
"28.05.2024 23:38:40,375",-25.0
"28.05.2024 23:42:37,750",13.0
"28.05.2024 23:46:35,125",0.0
"28.05.2024 23:50:32,500",-15.0
"28.05.2024 23:54:29,875",-21.0
"28.05.2024 23:58:27,250",-6.0
"29.05.2024 00:02:24,625",71.0
"29.05.2024 00:06:22,000",-48.0
"29.05.2024 00:10:19,375",-13.0
"29.05.2024 00:14:16,750",-29.0
"29.05.2024 00:18:14,125",52.0
"29.05.2024 00:22:11,500",1.0
"29.05.2024 00:26:08,875",37.0
"29.05.2024 00:30:06,250",-39.0
"29.05.2024 00:34:03,625",-43.0
"29.05.2024 00:38:01,000",-40.0
"29.05.2024 00:41:58,375",46.0
"29.05.2024 00:45:55,750",35.0
"29.05.2024 00:49:53,125",0.0
"29.05.2024 00:53:50,500",35.0
"29.05.2024 00:57:47,875",-56.0
"29.05.2024 01:01:45,250",-27.0
"29.05.2024 01:05:42,625",11.0
"29.05.2024 01:09:40,000",34.0
"29.05.2024 01:13:37,375",-33.0
"29.05.2024 01:17:34,750",58.0
"29.05.2024 01:21:32,125",-31.0
"29.05.2024 01:25:29,500",-53.0
"29.05.2024 01:29:26,875",-4.0
"29.05.2024 01:33:24,250",12.0
"29.05.2024 01:37:21,625",149.0
"29.05.2024 01:41:19,000",9.0
"29.05.2024 01:45:16,375",26.0
"29.05.2024 01:49:13,750",-24.0
"29.05.2024 01:53:11,125",-46.0
"29.05.2024 01:57:08,500",-11.0
"29.05.2024 02:01:05,875",43.0
"29.05.2024 02:05:03,250",-168.0
"29.05.2024 02:09:00,625",-9.0
"29.05.2024 02:12:58,000",-9.0
"29.05.2024 02:16:55,375",8.0
"29.05.2024 02:20:52,750",-45.0
"29.05.2024 02:24:50,125",15.0
"29.05.2024 02:28:47,500",-25.0
"29.05.2024 02:32:44,875",-1.0
"29.05.2024 02:36:42,250",-24.0
"29.05.2024 02:40:39,625",-10.0
"29.05.2024 02:44:37,000",-22.0
"29.05.2024 02:48:34,375",3.0
"29.05.2024 02:52:31,750",10.0
"29.05.2024 02:56:29,125",-4.0
"29.05.2024 03:00:26,500",2.0
"29.05.2024 03:04:23,875",-35.0
"29.05.2024 03:08:21,250",-2.0
"29.05.2024 03:12:18,625",61.0
"29.05.2024 03:16:16,000",-14.0
"29.05.2024 03:20:13,375",41.0
"29.05.2024 03:24:10,750",-4.0
"29.05.2024 03:28:08,125",6.0
"29.05.2024 03:32:05,500",29.0
"29.05.2024 03:36:02,875",-5.0
"29.05.2024 03:40:00,250",-34.0
"29.05.2024 03:43:57,625",16.0
"29.05.2024 03:47:55,000",21.0
"29.05.2024 03:51:52,375",5.0
"29.05.2024 03:55:49,750",-118.0
"29.05.2024 03:59:47,125",12.0
"29.05.2024 04:03:44,500",117.0
